team,pos.,wins,losses,draws,pts,goals,total_pass,season
Manchester United,1,28,5,5,89,83,18723,2006-2007
Chelsea,2,24,3,11,83,64,16759,2006-2007
Liverpool,3,20,10,8,68,57,17154,2006-2007
Arsenal,4,19,8,11,68,63,18458,2006-2007
Tottenham Hotspur,5,17,12,9,60,57,14914,2006-2007
Manchester United,1,27,5,6,87,80,17422,2007-2008
Chelsea,2,25,3,10,85,65,17252,2007-2008
Arsenal,3,24,3,11,83,74,18831,2007-2008
Liverpool,4,21,4,13,76,67,16360,2007-2008
Everton,5,19,11,8,65,55,12397,2007-2008
Manchester United,1,28,4,6,90,68,19416,2008-2009
Chelsea,2,25,5,11,86,68,19923,2008-2009
Liverpool,3,25,2,8,83,77,19505,2008-2009
Arsenal,4,20,6,12,72,68,18991,2008-2009
Aston Villa,5,17,10,11,62,54,12419,2008-2009
Chelsea,1,27,6,5,86,103,18852,2009-2010
Manchester United,2,27,7,4,85,86,19318,2009-2010
Arsenal,3,23,9,6,75,83,19291,2009-2010
Tottenham Hotspur,4,21,10,7,70,67,15474,2009-2010
Liverpool,5,18,11,9,63,61,18575,2009-2010
Manchester United,1,23,4,11,80,78,18870,2010-2011
Chelsea,2,21,9,8,71,69,19236,2010-2011
Manchester City,3,21,9,8,71,60,17768,2010-2011
Arsenal,4,19,8,11,68,72,20150,2010-2011
Liverpool,5,17,14,7,58,59,16728,2010-2011
Manchester City,1,28,5,5,89,93,20863,2011-2012
Manchester United,2,28,5,5,89,89,20184,2011-2012
Arsenal,3,21,10,7,70,74,20599,2011-2012
Tottenham Hotspur,4,20,9,9,69,66,19564,2011-2012
Newcastle United,5,19,11,8,65,56,14638,2011-2012
Manchester United,1,28,5,5,89,86,19696,2012-2013
Manchester City,2,23,6,9,78,66,20061,2012-2013
Chelsea,3,22,7,9,75,75,18425,2012-2013
Arsenal,4,21,7,10,73,72,21110,2012-2013
Tottenham Hotspur,5,21,8,9,72,66,16647,2012-2013
Manchester City,1,27,6,5,86,102,20761,2013-2014
Liverpool,2,26,6,6,84,101,19599,2013-2014
Chelsea,3,25,6,7,82,71,18266,2013-2014
Arsenal,4,24,7,7,79,68,21561,2013-2014
Everton,5,21,8,9,72,61,18301,2013-2014
Chelsea,1,26,3,9,87,73,20268,2014-2015
Manchester City,2,24,7,7,79,83,22107,2014-2015
Arsenal,3,22,7,9,75,71,20527,2014-2015
Manchester United,4,20,8,10,70,62,21311,2014-2015
Tottenham Hotspur,5,19,12,7,64,58,19322,2014-2015
Leicester City,1,23,3,12,81,68,13370,2015-2016
Arsenal,2,20,7,11,71,65,21249,2015-2016
Manchester City,3,19,10,9,66,71,20488,2015-2016
Manchester United,4,19,10,9,66,49,20070,2015-2016
Tottenham Hotspur,5,19,6,13,70,69,18649,2015-2016
Chelsea,1,30,5,3,93,85,20125,2016-2017
Tottenham Hotspur,2,26,4,8,86,86,20150,2016-2017
Arsenal,3,23,9,6,75,77,21394,2016-2017
Manchester City,4,23,6,9,78,80,22706,2016-2017
Liverpool,5,22,6,10,76,78,22290,2016-2017
Manchester City,1,32,2,4,100,106,28241,2017-2018
Manchester United,2,25,7,6,81,68,20064,2017-2018
Tottenham Hotspur,3,23,7,8,77,74,21660,2017-2018
Chelsea,4,21,10,7,70,62,21264,2017-2018
Liverpool,5,21,5,12,75,84,22962,2017-2018
